userName,score,at,content
Lucky Adrian,1,2024-09-29 09:57:41,Uang saya hioang tapi respon cs jelek sekali .. ilang nya 3 juta 600 lagi 😔
Danang Arianto,1,2024-09-29 09:47:09,Komplain salah transfer ke bukalapak mengirim pengajuan dompet malah dibekukan.. Trus pengajuan lagi ni malah akun saya yang dinonaktifkan... Percuma ngisi form2 yg ada ttep uang hilang
Priwantoro,5,2024-09-29 09:16:41,Mantap
Gunawan Gunawan,1,2024-09-29 07:37:30,Saldo dana saya dua kali ke ambil Bukalapak cara komplain supaya bisa di kembalikan saldo nya
DididTandung WijayaAmir,5,2024-09-29 07:23:29,"Apakah bisa jualan...,coba aja lah...."
Ibnu Sofyan,1,2024-09-29 02:48:47,"jangan mau download aplikasi ini, keaman nya lemah saldo saya hilang di aplikasi ini sampai sekarang blum ada terselesaikan dari pihak aplikasi"
djoman tara,4,2024-09-29 02:39:03,Tidak bisa mengikuti SERBUSERU... Selalu gagal meminta verifikasi
Mardiana Saputra,1,2024-09-29 01:29:59,"Aplikasi ini telah menarik saldo di akun dana sy sebesar Rp. 1.400.000 secara otomatis padahal sy tdk mempunyai tagihan ataupun transaksi lain lalu pas sy komplain di respon namun 3 hari setelah komplain akun Bukalapak memblokir otomatis akun sy,, tentu ny ini adalah suatu pelanggaran dr tim bukalapak krn TDK bs mengatasi suatu persoalan sehingga dia menghapus akun sy,, waspada terhadap akun bukalapak yg pembayaran ny terhubung melalui ewalet."
JOJO SUBAGJA,1,2024-09-28 23:06:15,"Dulu saya kasih bintang 5, turun bintang 2, naik lagi bintang 3, sekarang bintang 1. Barang belum diterima tapi sistem meneruskan uang ke pelapak. Kami butuh customer servis manusia yang terdepan, kita ingin praktis tanpa ribet dengan tutorial, istilah-istilah yang gak ngerti, dan nunggu waktu layanan."
Math Fairest,1,2024-09-28 22:08:28,"Saldo dana saya terpotong tanpa komfirmasi pembayaran, jelas pencurian dana pribadi. Tolong kembalikan saldo dana saya yg di ambil oleh pihak bukalapa."
Oky Ferianto,5,2024-09-28 20:33:10,nice
Muhammadfauzi Alimudin,1,2024-09-28 18:47:57,Aplikasi setan Pencuri saldo orang
M hafiz,5,2024-09-28 17:08:26,"anjir aplikasi 4/6 tahun yang lalu, baru inget ada bukalapak"
Hanz43 steev,5,2024-09-28 14:31:30,mantapsss
Heni Hendriany,4,2024-09-28 14:25:05,"Maaf ya bukalapak ,terpaksa saya uninstall dgn alasan kamu pelit banget terima pengajuan limit paylater ..nga kayak toko sebelah langsung acc ,bahkan sekarang limit nya tambah gede 🤗"
hengky tornando,1,2024-09-28 14:24:27,"mahal"" barangnya ongkir mahal ribet lagi mending hapus saja aplikasi ini"
XTAB DEATHMETAL,3,2024-09-28 14:01:23,"Tolong diperbaiki, Bukalapak minta update terus tp gada perubahan, order masuk tidak bisa download resi thermal ukuran A6 diaplikasi, Bukasend juga gak bisa download resi A6 diaplikasi, Harus download diwebsite seller center, Percuma buat apa ada aplikasinya"
